tower_id,operator,circle,lac,cell_id,cell_name,tower_address,landmark,district,state,pincode,latitude,longitude,altitude_m,tower_height_m,coverage_radius_m,azimuth_deg,sector_id,tilt_deg,tower_type,installation_date,technology,frequency_bands,max_capacity_erlangs,owner_company,sharing_flag,sharing_operators,power_supply,backup_power_hrs,site_id,bsc_bts_id,rnc_id,enodeb_id
DL-AIR-001,Airtel,Delhi,10201,30101,DL-AIR-001-CELL-Omni,"Rajouri Garden Metro Station, Delhi",Rajouri Garden Metro Station,West Delhi,Delhi,110059,28.647,77.1025,228,35,800,Omni,SEC-Omn,0,Macro-BTS,2018-04-12,2G/3G/4G,900/2100/1800 MHz,45,Airtel Telesystems Ltd,N,,Commercial+DG,5,SITE-DL-AIR-001,BSC-AI-WES-01,RNC-AI-01,ENB-AI-10201-30101
DL-AIR-002,Airtel,Delhi,10201,30102,DL-AIR-002-CELL-120,"Tagore Garden Extension, Delhi",Tagore Garden Extension,West Delhi,Delhi,110059,28.6538,77.098,226,30,600,120,SEC-120,3,Macro-BTS,2019-07-03,4G,1800/2300 MHz,29,Airtel Telesystems Ltd,Y,,Commercial+DG,8,SITE-DL-AIR-002,BSC-AI-WES-01,RNC-AI-01,ENB-AI-10201-30102
DL-AIR-003,Airtel,Delhi,10202,30201,DL-AIR-003-CELL-Omni,"Dwarka Sector 10 Main Market, Delhi",Dwarka Sector 10 Main Market,South West Delhi,Delhi,110059,28.6311,77.0836,218,40,900,Omni,SEC-Omn,2,Macro-BTS,2017-11-20,2G/3G/4G,900/2100/1800 MHz,32,Airtel Telesystems Ltd,N,Airtel+Jio,Commercial+DG,6,SITE-DL-AIR-003,BSC-AI-SOU-01,RNC-AI-01,ENB-AI-10202-30201
DL-AIR-004,Airtel,Delhi,10202,30202,DL-AIR-004-CELL-240,"Uttam Nagar West Metro, Delhi",Uttam Nagar West Metro,West Delhi,Delhi,110059,28.614,77.0702,210,32,700,240,SEC-240,2,Macro-BTS,2020-02-14,4G/5G,1800/3500 MHz,48,Airtel Telesystems Ltd,Y,,Commercial+DG,8,SITE-DL-AIR-004,BSC-AI-WES-01,RNC-AI-01,ENB-AI-10202-30202
DL-JIO-001,Jio,Delhi,20301,50101,DL-JIO-001-CELL-Omni,"Rajouri Garden Main Road, Delhi",Rajouri Garden Main Road,West Delhi,Delhi,110059,28.648,77.103,218,28,700,Omni,SEC-Omn,0,Small-Cell,2021-03-01,4G/5G,1800/3500 MHz,48,Jio Telesystems Ltd,Y,,Commercial+DG,10,SITE-DL-JIO-001,BSC-JI-WES-01,RNC-JI-01,ENB-JI-20301-50101
DL-JIO-002,Jio,Delhi,20302,50201,DL-JIO-002-CELL-240,"Uttam Nagar East Metro, Delhi",Uttam Nagar East Metro,West Delhi,Delhi,110059,28.5921,77.0464,222,35,750,240,SEC-240,8,Macro-BTS,2019-09-15,4G,1800/2300 MHz,20,Jio Telesystems Ltd,N,Airtel+Jio,Commercial+DG,7,SITE-DL-JIO-002,BSC-JI-WES-01,RNC-JI-01,ENB-JI-20302-50201
DL-JIO-003,Jio,Delhi,20303,50301,DL-JIO-003-CELL-Omni,"Dwarka Sector 23 Market, Delhi",Dwarka Sector 23 Market,South West Delhi,Delhi,110059,28.524,77.035,227,38,1000,Omni,SEC-Omn,2,Macro-BTS,2018-06-22,4G/5G,1800/3500 MHz,29,Jio Telesystems Ltd,N,Airtel+Jio,Commercial+DG,4,SITE-DL-JIO-003,BSC-JI-SOU-01,RNC-JI-01,ENB-JI-20303-50301
DL-JIO-004,Jio,Delhi,20303,50302,DL-JIO-004-CELL-120,"Dwarka Sector 25, Delhi",Dwarka Sector 25,South West Delhi,Delhi,110059,28.5105,77.0289,226,30,800,120,SEC-120,5,Macro-BTS,2020-11-10,4G,1800/2300 MHz,38,Jio Telesystems Ltd,N,,Commercial+DG,10,SITE-DL-JIO-004,BSC-JI-SOU-01,RNC-JI-01,ENB-JI-20303-50302
DL-VI-001,Vi,Delhi,30401,60101,DL-VI-001-CELL-Omni,"Madipur Village, West Delhi",Madipur Village,West Delhi,Delhi,110059,28.6445,77.11,222,25,600,Omni,SEC-Omn,3,Rooftop-BTS,2016-08-05,2G/3G/4G,900/2100/1800 MHz,35,Vi Telesystems Ltd,Y,Airtel+Jio,Commercial+DG,7,SITE-DL-VI-001,BSC-VI-WES-01,RNC-VI-01,ENB-VI-30401-60101
HR-VI-001,Vi,Haryana,40501,70101,HR-VI-001-CELL-Omni,"Gurugram Sector 14 Huda Market, Haryana",Gurugram Sector 14 Huda Market,Gurugram,Haryana,122001,28.4595,77.0266,211,45,1200,Omni,SEC-Omn,4,Macro-BTS,2017-04-18,2G/3G/4G,900/2100/1800 MHz,36,Vi Telesystems Ltd,N,Airtel+Jio,Commercial+DG,12,SITE-HR-VI-001,BSC-VI-GUR-01,RNC-VI-01,ENB-VI-40501-70101
HR-VI-002,Vi,Haryana,40502,70201,HR-VI-002-CELL-180,"NH-48 Kherki Daula Toll, Gurugram, Haryana",NH-48 Kherki Daula Toll,Gurugram,Haryana,122001,28.4089,76.9985,217,50,2000,180,SEC-180,7,Macro-BTS (Highway),2016-12-01,2G/3G/4G,900/2100/1800 MHz,44,Vi Telesystems Ltd,N,Airtel+Jio,Commercial+DG,7,SITE-HR-VI-002,BSC-VI-GUR-01,RNC-VI-01,ENB-VI-40502-70201
HR-VI-003,Vi,Haryana,40503,70301,HR-VI-003-CELL-Omni,"Manesar IMT Phase-1, Haryana",Manesar IMT Phase-1,Gurugram,Haryana,122001,28.3812,76.9701,229,42,1500,Omni,SEC-Omn,5,Macro-BTS,2018-02-28,3G/4G,2100/1800 MHz,21,Vi Telesystems Ltd,Y,Airtel+Jio,Commercial+DG,6,SITE-HR-VI-003,BSC-VI-GUR-01,RNC-VI-01,ENB-VI-40503-70301
HR-AIR-001,Airtel,Haryana,40601,80101,HR-AIR-001-CELL-Omni,"Gurugram Sector 5 IFFCO Chowk, Haryana",Gurugram Sector 5 IFFCO Chowk,Gurugram,Haryana,122001,28.4612,77.031,224,40,1000,Omni,SEC-Omn,7,Macro-BTS,2017-09-10,4G,1800/2300 MHz,46,Airtel Telesystems Ltd,N,Airtel+Jio,Commercial+DG,6,SITE-HR-AIR-001,BSC-AI-GUR-01,RNC-AI-01,ENB-AI-40601-80101
UP-BSN-001,BSNL,Haryana,50601,90101,UP-BSN-001-CELL-Omni,Faridabad Sector 28 NHPC Chowk,Faridabad Sector 28 NHPC Chowk,Faridabad,Haryana,121001,28.3847,77.3241,224,30,1500,Omni,SEC-Omn,8,Macro-BTS,2014-06-15,2G/3G,900/2100 MHz,24,BSNL Telesystems Ltd,Y,Airtel+Jio,Commercial+DG,6,SITE-UP-BSN-001,BSC-BS-FAR-01,RNC-BS-01,ENB-BS-50601-90101
UP-BSN-002,BSNL,Haryana,50602,90201,UP-BSN-002-CELL-60,Ballabhgarh Old Faridabad Road,Ballabhgarh Old Faridabad Road,Faridabad,Haryana,121001,28.41,77.35,211,28,1800,60,SEC-60,0,Macro-BTS,2013-11-20,2G/3G,900/2100 MHz,29,BSNL Telesystems Ltd,Y,,Commercial+DG,8,SITE-UP-BSN-002,BSC-BS-FAR-01,RNC-BS-01,ENB-BS-50602-90201
